StaffID	nric	name	LicenseNumber	DateCertified
3685	S1280111F	Lian Bo	9891978	2004-12-25
3703	S1158140T	Xie Xia	6824761	1994-08-13
5653	S8535279X	Huo Long	8253440	2012-03-13
6720	S6140669C	Wu He	1809278	2009-01-15
7144	S8000598D	Meng Yin	2293662	1999-01-08
7881	S8146152P	Zhen Xiuying	8853580	2010-03-10
13761	S1122333G	Lang Jie	2769437	2001-06-23
14850	S6577707J	Xia Guanyu	5088167	2010-01-11
15175	S5073642F	Mo Wuhan	296016	2010-10-22
16661	S7074113I	Wen Zhou	3254866	1997-07-02
17245	S7932861T	Liang Min	5555312	2009-11-09
23181	S4501980D	Zhan Shui	8871112	2006-08-15
29984	S1003901Q	Gao Fang	78546	2012-01-09
32482	S9254160D	Ye Hai	5365293	2012-02-05
34371	S1238702C	Hou Hui	7918156	2000-08-05
34543	S8524149Y	Wang Qigang	5519442	2006-05-23
35433	S1647745U	Wen Zhen	860992	2009-03-03
36662	S7417192P	Lei Chen	7658899	2010-09-23
36948	S6988288E	Dai Guiying	8435292	2009-01-22
38320	S6793034R	Zheng Wuying	2642489	2011-11-04
44037	S4914754T	Prem Majumdar	2374642	2010-07-23
44241	S6212057X	Palash Lal	3646193	2004-03-18
49690	S4805949A	Inder Sankaran	1136923	2011-05-12
50013	S8706378N	Sandeep Borra	6830192	2007-05-15
50026	S2285037U	Pumeet Dhillon	5897087	2012-04-23
51106	S3713634R	Salmalin Magar	7749942	2009-01-18
53198	S6280416E	Das Sarna	7852233	2010-10-25
55727	S4490120W	Rajnish Parikh	2792874	2009-01-01
56925	S5434231R	Achir Karpe	1443625	2011-01-10
58059	S1663859T	Shaitan Minhas	354320	2010-02-28
61692	S7935016I	Taj Parikh	7350095	2011-12-04
64826	S9811529O	Rohan Joshi	4497608	1993-09-22
65448	S1946557M	Latif Dara	1247676	2005-03-19
66173	S5097439B	Abhimanyu Gupta	4759965	2011-07-11
66775	S8344443F	Kumara Bava	1315874	2010-12-25
69437	S5249709H	Matsya Chakrabarti	7387831	2001-07-20
69755	S8433745X	Dinesh Beniwal	2518606	2007-04-09
70289	S9061648O	Asad Dugar	4450737	2011-02-22
72046	S5913243P	Bhikkhu Kothari	7385425	1994-06-10
73185	S3705761F	Taj Kade	3371123	2012-06-25
75113	S2663703D	Hou Qiang	3158624	2011-07-16
81807	S6892963B	Lei Yun	8331632	2010-12-08
82726	S3840753M	Wang Zhihao	445358	2010-07-07
83733	S9652343L	Lang Fang	982548	1990-10-13
84844	S5058482R	Ding Heng	4568807	2011-12-06
90672	S1623365W	Liang Guanting	2692099	1991-09-08
90754	S5467359X	Wen Hui	779153	2009-06-05
93165	S3167739H	Yu Dong	6131687	1994-02-21
97183	S3964025J	Meng Qigang	9933843	2002-03-13
97178	S1367349J	Jiang Fu	2096125	2002-03-14
37751	S3469239G	Quan He	3997932	1998-05-02
92144	S5512569S	Xie Lei	6419292	1998-05-26
